dia,mes,anio,Tmax,Tmin
17,7,1959,12.1,7.1
18,7,1959,14.1,10.2
19,7,1959,19.5,14.1
20,7,1959,17.4,10.6
21,7,1959,14.6,7.3
22,7,1959,15.5,10.3
23,7,1959,17.5,12.5
24,7,1959,24.6,14.6
25,7,1959,24.8,18.1
26,7,1959,20.6,12
27,7,1959,15.4,7.8
28,7,1959,10.1,7.8
29,7,1959,10,5.9
30,7,1959,14.6,2.4
31,7,1959,13.6,2.6
1,8,1959,15.3,6.9
2,8,1959,16.4,4.2
3,8,1959,14.4,7.2
4,8,1959,17.2,8.4
5,8,1959,14.4,9.7
6,8,1959,,
7,8,1959,17.7,4
8,8,1959,17.6,8.2
9,8,1959,15.5,2.2
10,8,1959,23.1,9.2
11,8,1959,20.6,12
12,8,1959,13.6,5.6
13,8,1959,7.9,3.2
14,8,1959,13.1,2.2
15,8,1959,18.5,6.3
16,8,1959,21.6,10
17,8,1959,11.2,-0.3
18,8,1959,12.2,-0.9
19,8,1959,13.2,4.8
21,8,1959,,
20,8,1959,15,
22,8,1959,14,6.7
23,8,1959,17,3.7
24,8,1959,19.5,5.1
25,8,1959,14,5.4
26,8,1959,10.3,6
27,8,1959,10,4.1
28,8,1959,10.5,5.8
29,8,1959,13,-0.3
30,8,1959,12.3,0
31,8,1959,10,7.3
1,9,1959,15,5.3
2,9,1959,13.1,7.6
3,9,1959,14.7,2.4
4,9,1959,20.4,5.1
5,9,1959,19.2,8.4
6,9,1959,18.6,10.4
7,9,1959,18.7,4.1
8,9,1959,20.8,8.4
9,9,1959,18,6.7
10,9,1959,16,2.3
11,9,1959,13.1,0.7
12,9,1959,13,-0.9
13,9,1959,15.8,4.3
14,9,1959,20.9,7.5
15,9,1959,27.3,13.7
16,9,1959,22,9.6
17,9,1959,17.3,3
18,9,1959,18.2,5.1
19,9,1959,15.8,-1.8
20,9,1959,15.3,2.1
21,9,1959,17.9,3.8
22,9,1959,15.1,11.8
23,9,1959,16.8,11.9
24,9,1959,24.4,8.4
25,9,1959,18.6,11.7
26,9,1959,22,14.1
27,9,1959,23,10.1
28,9,1959,23.7,13.4
29,9,1959,19,11.8
30,9,1959,22,12.8
1,10,1959,20,10.3
2,10,1959,21,11.8
3,10,1959,21.4,13
4,10,1959,22.3,9.2
5,10,1959,26.1,13.9
6,10,1959,23.6,16.2
7,10,1959,18,13.4
8,10,1959,16.2,9.4
9,10,1959,14.8,3.8
10,10,1959,17.3,11.9
11,10,1959,17.4,14
12,10,1959,16.2,12.3
13,10,1959,16.4,10.8
14,10,1959,16,9.6
15,10,1959,18.3,5.8
16,10,1959,22,5.3
17,10,1959,25,12.3
18,10,1959,26,11.7
19,10,1959,22,16.4
20,10,1959,23.7,14.8
